text,allowed_votes
"Quem criaria um culto secreto para não pagar o aluguel?",1
"Quem trocaria remédio por placebo para ver 'quem é mais forte'?",1
"Quem seria capaz de furtar a coroa de Jesus na procissão?",1
"Quem venderia curso de sobrevivência sem nunca ter saído da cidade?",1
"Quem daria golpe do pix no grupo do condomínio?",1
"Quem falsificaria laudo de insanidade para não testemunhar contra a mãe?",1
"Quem faria sexo no carro da funerária durante o velório?",1
"Quem roubaria o dízimo da igreja para pagar boletos atrasados?",1
"Quem seria capaz de deixar o avô com Alzheimer no cassino?",1
"Quem gravaria a conversa do confessor e vazaria no podcast?",1
"Quem trocaria a água benta por vodka no batizado?",1
"Quem daria golpe em velhinha usando foto de neto falso?",1
"Quem falsificaria exame de HIV para ganhar atenção?",1
"Quem faria mutirão de fake news para eleger o pior candidato?",1
"Quem roubaria a urna eletrônica para virar prefeito de cidade pequena?",1
"Quem seria capaz de iniciar uma seita com o único propósito de não trabalhar?",1
"Quem venderia a mãe no mercado livre por um preço justo?",1
"Quem daria golpe do baú fingindo ser herdeiro de coronel falecido?",1
"Quem falsificaria contrato de união estável para processar o amante rico?",1
"Quem faria escândalo no transplante para pular a fila do rim?",1
"Quem roubaria a identidade de padre para aplicar golpes em fiéis?",1
"Quem seria capaz de dar PT no carro do pai e culpar o irmão autista?",1
"Quem gravaria vídeo íntimo da ex e venderia para site nazista?",1
"Quem trocaria a quimioterapia por chá de cogumelo alucinógeno?",1
"Quem daria calote no traficante e pediria asilo na delegacia?",1
"Quem falsificaria atestado de reservista para não servir na guerra fictícia?",1
"Quem faria vaquinha para cirurgia plástica e usaria o dinheiro no puteiro?",1
"Quem roubaria a placa do túmulo alheio para reformar a cozinha?",1
"Quem seria capaz de processar os pais por danos morais por terem nascido feio?",1
"Quem venderia o apartamento da avó sem ela saber durante a internação?",1
"Quem daria golpe do empréstimo consignado usando CNH de defunto?",1
"Quem falsificaria laudo de autismo para furar fila do banco?",1
"Quem faria ghosting no próprio filho no orfanato?",1
"Quem roubaria a jarra de dinheiro do velório para pagar o Uber?",1
"Quem seria capaz de furtar o oxigênio do hospital para encher pneu de caminhão?",1
"Quem gravaria áudio do amigo chorando e faria ringtone?",1
"Quem trocaria a morfina por farinha no hospital só para zoar?",1
"Quem daria golpe do falso sequestro na própria família para pagar dívida de jogo?",1
"Quem falsificaria certidão de óbito do marido para casar no mesmo dia?",1
"Quem faria review negativo do hospital depois de ser negado num transplante?",1
"Quem roubaria a cadeira de rodas do deficiente para corrida de rua?",1
"Quem seria capaz de iniciar briga de trânsito e fugir usando patinete elétrico?",1
"Quem venderia o livro de receitas da avó falecida para rede de fast food?",1
"Quem daria golpe do amor usando foto de modelo coreano para extorquir idosos?",1
